Номер вагона;Грузополучатель;жд код;Собственник груза;Жд код;Экспедитор;Станция
60215829;"ОАО ""Красносельскстройматериалы""";4013;"ООО ""Тэктранс""";8219973;"ООО ""Украгротехсервис""";137307
61241162;"ОАО ""Красносельскстройматериалы""";4013;"ООО ""Тэктранс""";8219973;"ООО ""Украгротехсервис""";137307
63365258;"ОАО ""Красносельскстройматериалы""";4013;"ООО ""Тэктранс""";8219973;"ООО ""Украгротехсервис""";137307
65406761;"ОАО ""Красносельскстройматериалы""";4013;"ООО ""Тэктранс""";8219973;"ООО ""Украгротехсервис""";137307
65559452;"ОАО ""Красносельскстройматериалы""";4013;"ООО ""Тэктранс""";8219973;"ООО ""Украгротехсервис""";137307
65948382;"ОАО ""Красносельскстройматериалы""";4013;"ООО ""Тэктранс""";8219973;"ООО ""Украгротехсервис""";137307
